Type,Country,Year,Value,Unit
total-energy,Germany,1996,348.4941283286286,Mtep
total-energy,Germany,1997,345.34153877458397,Mtep
total-energy,Germany,1998,343.18632130630084,Mtep
total-energy,Germany,1999,335.46094784691235,Mtep
total-energy,Germany,2000,337.1092387214035,Mtep
total-energy,Germany,2001,347.1470121103518,Mtep
total-energy,Germany,2002,339.42531332340894,Mtep
total-energy,Germany,2003,338.75602761574083,Mtep
total-energy,Germany,2004,341.17321929050235,Mtep
total-energy,Germany,2005,339.2850610192551,Mtep
total-energy,Germany,2006,349.3756146686886,Mtep
total-energy,Germany,2007,331.2653783091767,Mtep
total-energy,Germany,2008,335.4583542288586,Mtep
total-energy,Germany,2009,313.25796607196594,Mtep
total-energy,Germany,2010,329.84083013982354,Mtep
total-energy,Germany,2011,312.71027420542265,Mtep
total-energy,Germany,2012,315.0257707446602,Mtep
total-energy,Germany,2013,321.7975609423607,Mtep
total-energy,Germany,2014,307.7588041358817,Mtep
total-energy,Germany,2015,309.253088995174,Mtep
total-energy,Germany,2016,310.45997446912077,Mtep
total-energy,Germany,2017,311.41745334563916,Mtep
total-energy,Germany,2018,303.65064877547576,Mtep
total-energy,Germany,2019,296.93199607786994,Mtep
total-energy,Germany,2020,278.79930128394136,Mtep
total-energy,Germany,2021,289.4114655228761,Mtep
total-energy,Germany,2022,272.20739412736526,Mtep
total-energy,Germany,2023,244.8081681459524,Mtep
total-energy,Germany,2024,241.70670354266758,Mtep
total-energy,India,1990,283.9211979314341,Mtep
total-energy,India,1991,296.9858124569047,Mtep
total-energy,India,1992,311.40102321924604,Mtep
total-energy,India,1993,318.3256465671988,Mtep
total-energy,India,1994,333.7876565074504,Mtep
total-energy,India,1995,350.0037483819861,Mtep
total-energy,India,1996,372.31335791496645,Mtep
total-energy,India,1997,385.67406084510026,Mtep
total-energy,India,1998,397.20038596216176,Mtep
total-energy,India,1999,422.6321097900512,Mtep
total-energy,India,2000,439.4313124710034,Mtep
total-energy,India,2001,443.05392341023196,Mtep
total-energy,India,2002,452.5719428955065,Mtep
total-energy,India,2003,466.8324171537048,Mtep
total-energy,India,2004,488.1032891328135,Mtep
total-energy,India,2005,510.79356154212684,Mtep
total-energy,India,2006,538.7074446014584,Mtep
total-energy,India,2007,573.9069588984853,Mtep
total-energy,India,2008,600.1147001280087,Mtep
total-energy,India,2009,651.5208856822492,Mtep
total-energy,India,2010,659.0834067296462,Mtep
total-energy,India,2011,693.9380287536571,Mtep
